5,10,15,20,Half,25,30,35,40,Finish
29:09,30:30,31:14,32:45,07:45,32:38,45:46,42:25,46:24,15:03
33:54,34:07,37:08,42:07,09:11,36:03,45:09,47:32,45:15,17:45
36:03,38:41,38:04,38:43,08:18,35:05,01:03:52,46:58,46:19,19:40
25:41,25:24,26:08,26:27,05:44,21:57,31:16,36:40,38:28,15:35
24:39,25:16,27:57,30:08,06:24,25:57,37:48,44:19,45:22,18:24
27:51,27:33,28:08,28:24,06:08,23:04,30:41,30:54,30:42,12:38
21:16,22:40,22:54,23:01,05:09,18:08,22:59,24:45,26:01,11:23
19:47,20:59,23:00,26:14,06:48,22:52,27:07,30:31,34:01,12:16
28:19,29:27,31:04,33:59,07:40,29:03,42:30,42:27,40:44,17:20
29:14,29:42,30:42,30:36,06:38,24:26,33:14,38:39,53:43,19:46
22:51,23:13,22:51,23:27,05:05,20:03,26:20,30:34,35:24,14:22
35:46,33:13,36:21,40:33,09:57,34:48,45:32,50:12,47:26,20:28
-,-,-,-,-,-,-,-,-,-
33:53,35:25,34:27,34:32,07:26,29:00,39:41,43:09,45:44,18:48
23:10,23:23,23:43,23:30,05:10,18:21,23:57,24:03,31:10,15:10
34:11,34:02,33:49,35:54,07:22,28:04,40:07,34:27,34:16,13:48
29:54,30:16,30:35,31:24,07:05,25:01,35:15,36:01,34:58,15:55
30:58,33:12,36:10,40:45,09:56,34:48,45:32,50:11,47:27,20:32
-,-,-,-,-,-,-,-,-,-
31:49,32:05,32:06,33:07,07:07,25:56,35:23,37:08,37:05,15:38
21:53,22:39,22:42,22:42,04:50,17:40,22:52,23:13,23:35,10:17
28:55,29:43,29:12,28:09,06:08,-,-,27:48,27:21,10:32
24:33,25:51,27:17,26:31,05:41,20:54,26:34,26:54,27:42,11:37
-,-,-,-,-,-,-,-,-,-
34:21,40:10,34:34,36:06,07:45,29:55,37:40,39:36,40:48,18:33
30:24,31:23,31:55,32:28,06:38,28:01,42:08,59:00,44:17,17:37
34:46,33:33,33:51,34:07,07:29,27:22,35:45,41:34,42:44,16:48
24:31,25:49,25:33,25:51,05:38,20:34,46:44,-,-,-
-,-,-,-,-,-,-,-,-,-
29:10,29:41,30:17,30:46,06:35,27:42,36:20,40:28,39:28,16:24
36:16,36:33,36:01,36:43,08:06,30:08,40:18,41:47,44:07,17:06
-,-,-,-,-,-,-,-,-,-
22:06,21:54,22:00,22:22,04:46,17:07,22:05,22:12,22:54,10:06
31:37,31:23,33:57,34:07,08:16,34:46,45:57,46:14,42:57,15:10
30:46,31:57,32:49,36:32,08:32,32:48,43:40,43:08,40:19,16:19
25:09,25:11,25:21,25:25,05:29,19:45,25:13,25:38,26:23,11:44
33:31,34:53,35:25,35:24,07:51,28:39,37:12,38:17,37:48,16:25
23:16,22:49,23:24,23:33,05:04,18:32,24:23,25:22,27:14,11:23
29:37,35:24,37:20,39:49,08:50,32:16,40:35,44:10,45:23,15:59
28:00,28:41,28:37,28:25,06:05,22:30,28:59,29:43,30:41,12:57
25:42,25:56,26:05,26:49,05:37,20:30,26:36,26:56,27:28,11:58
26:44,29:01,28:19,29:06,06:30,24:06,33:08,32:35,35:24,15:27
21:06,22:18,22:35,22:45,04:56,17:45,23:35,23:55,23:40,09:56
